评论日期,评论内容,产品名,点赞数,子评论数/追评数,一级评论,二级评论,三级评论
2025,that'll be 1 million dollars,,56,0,,,
2025,Been using the Halo 1 for a while now and I must say it's actually a nice gadget if you don't want to spread light in the entire room. Makes working for long hours on the PC a breeze.,,5,0,,,
2026-03,I guess we have to choose between a light and our webcamera.,,0,0,,,
2025,Where is Master Chief?,,5,0,,,
2025,And you thought of this just 2 days after i bought the screenbar halo,,1,0,,,
2025,Can we please get another color besides silver....Like Black or White,,3,0,,,
2025-11,"The original adapter (EU 230V) had some serious coil whine, Luckily I had a spare USB -C Adapter, i could use.",,0,0,,,
2025,Can’t even hate I love my Halo but it is expensive,,1,0,,,
2025-10,"Thank you BenQ, I got one. Wit lots of thanks from Lahore Pakistan.",,0,0,,,
2025,Please make a monitor light for 800R ultrawide,,7,0,,,
2025,wait isn’t this the opposite of colograding room?,,2,0,,,
2025,wheres the arbiter,,5,0,,,
2025,"I just got it, but I can hear a noise when I turn on the light. Is that a faulty product or this just happens to everyone?",,0,0,,,
2025,Where does the webcam go?,,5,0,,,
2025,Please make a monitor that is 4D,,0,0,,,
2025,"I have the same from Xiaomi for 25 bucks, which I bought 4 years ago",,0,0,,,
2025,Waiting for Chinese brands to copy this,,0,0,,,
2025,Just turn on the effing room light lmao,,30,0,,,
2025,Or just turn on your overhead light?,,20,0,,,
2025,So there's no lights at home ? Waste to buy such expensive and only selected application products.,,2,0,,,
2025-11,A excellent example of how comparisons and reviews should be made.,,8,0,,,
2025,Such a great no nonsense review. Subbed!,,7,0,,,
2025-12,"I'm an electrical engineer and  work in a lighting manufacturing company and I have been not satisfied with other reviews for this product, but when you pulled out the luxmeter and powermeter, that made my day ! I was so happy to actually assess the technical details before making this purchase , Thank you :)",,4,0,,,
2025,"Great content, love it. Thank for putting this up!",,2,0,,,
2025,"Excellent video! Very helpful, thank you.",,2,0,,,
2026-06,Great review,,0,0,,,
2026-06,awesome review I think im going to get the pro version,,0,0,,,
2026-07-03,"Thank you, its so useful, stunning introducing",,0,0,,,
2025-12,"I had a problem with the auto On and Off switching on whenever it wanted, and from what I’ve heard, it’s a known issue among many users who own it. I ended up returning mine to Amazon because it just wasn’t reliable. When you’re paying $189CA, you expect it to work as it should.",,1,0,,,
2025,Will the pro cover the camera on the Apple Studio Monitor?,,0,0,,,
2025,Would this light bar clamp to a very thin monitor? I’m using the 32” Samsung Odyssey OLED G8 but it’s so thin I feel like the light bar might not hold in place,,0,0,,,
2025,The Herman Miller of desk lamps,,10,0,,,
1年前（修改过）,"I have an older Screen Bar with micro USB and it has been great. I purchased a Screen Bar Pro (also micro USB) and in less than a year it would turn off after a while on any setting less than 5 clicks on the setting wheel. It was purchased on Amazon, from Amazon and not from a third party selling on Amazon. BenQ customer support, even though it was in warranty, flat out and rudely denied warranty while claiming it was purchased from a non-approved third party. That was after sending them proof it was sold and shipped by Amazon, an approved seller. BenQ will never get another bit of business from me.

I ended up replacing the BenQ Screen Bar Pro with a unit from Xaiomi and it has been flawless.",,1,0,,,
2025,Does the clamp block the front camera on the monitor?,,0,0,,,
2025,"The problem is when people are suing the light bar, they turned off the lights or dim them. And this will cause the screen to appear brighter, therefore will strain your eyes. It’s a nice accessory to have on your desk and give nice ambient and mood to work and chill.",,0,0,,,
2025,"Thanks for the review. However, I think the ""no glare"" or ""reduced glare"" means of the light produced by the bar itself vs traditional task lamps that would otherwise reflect of the screen. You probably need to have the monitor set up at an ergonomic height, otherwise there will be reflections on either top or bottom, depending on how high or low the monitor is.",,3,0,,,
2025,"I have the Halo Variant, which comes with a separate remote control, and while that’s better than the controls on top, it hasn’t made much of a difference. Honestly, the only time I use it is when I switch off the room light at night just to justify having it. Otherwise, it feels like there’s no real use for it.",,4,0,,,
2025,"Thank you for the review, I Was about to buy one with this use case in mind, if it doesn't help with eye strain, I'll just continue to code in the dark with dark themes.",,1,0,,,
